Player1,Player2,Round,Result,FNL1,FNL2,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,G,mf
Lukas Lacko,Novak Djokovic,1,0,0,3,61,35,39,18,5,1,17,29,1,3,8,11,70,68,45,32,17,10,0,40,30,4,8,8,9,101,M,Lacko vs. Djokovic
Leonardo Mayer,Albert Montanes,1,1,3,0,61,31,39,13,13,1,13,1,7,14,,,80,60,23,40,9,1,4,1,4,0,0,,,42,M,Mayer vs. Montanes
Marcos Baghdatis,Denis Istomin,1,0,0,3,52,53,48,20,8,4,37,50,1,9,16,23,106,77,57,23,15,9,1,41,41,4,13,12,16,126,M,Baghdatis vs. Istomin
Dmitry Tursunov,Michael Russell,1,1,3,0,53,39,47,24,8,6,8,6,6,9,,,104,50,24,50,19,1,8,1,8,1,7,,,79,M,Tursunov vs. Russell
Juan Monaco,Ernests Gulbis,1,0,1,3,76,63,24,12,0,4,16,35,3,12,9,13,128,53,59,47,32,17,11,59,79,3,5,16,28,127,M,Monaco vs. Gulbis
Santiago Giraldo,Sam Querrey,1,0,1,3,65,51,35,22,9,3,35,41,2,7,6,12,108,63,60,37,22,24,4,47,45,4,7,14,17,122,M,Giraldo vs. Querrey
Dudi Sela,Jarkko Nieminen,1,0,2,3,68,73,32,24,5,3,41,50,9,17,14,30,173,60,66,40,34,2,6,57,72,10,17,25,36,173,M,Sela vs. Nieminen
Fabio Fognini,Alex Bogomolov Jr.,1,1,2,0,47,18,53,15,3,4,21,31,6,20,6,9,78,54,26,46,13,0,11,11,46,2,6,8,12,61,M,Fognini vs. Jr.
David Guez,Richard Gasquet,1,0,0,3,64,26,36,12,3,,20,39,3,7,5,14,67,67,42,33,14,12,,32,20,7,10,8,11,94,M,Guez vs. Gasquet
Nikolay Davydenko,Lukasz Kubot,1,1,3,2,77,76,23,11,6,4,6,4,7,24,,,162,60,68,40,25,8,12,8,12,6,14,,,141,M,Davydenko vs. Kubot
Pablo Carreno Busta,Julien Benneteau,1,0,2,3,53,46,47,35,7,7,47,58,4,5,19,33,126,66,62,34,24,16,4,49,46,7,19,30,43,152,M,Busta vs. Benneteau
Tommy Robredo,Lukas Rosol,1,1,3,2,57,62,43,43,13,0,50,38,6,18,15,19,177,51,72,49,41,11,12,82,96,3,7,28,44,152,M,Robredo vs. Rosol
Samuel Groth,Vasek Pospisil,1,0,0,3,65,40,35,17,16,4,35,25,0,2,20,43,74,67,45,33,13,6,4,31,17,4,10,6,10,94,M,Groth vs. Pospisil
