Player1,Player2,Round,Result,FNL1,FNL2,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,G
Lukas Lacko,Novak Djokovic,1,0,0,3,61,35,39,18,5,1,17,29,1,3,8,11,70,68,45,32,17,10,0,40,30,4,8,8,9,101,M
Leonardo Mayer,Albert Montanes,1,1,3,0,61,31,39,13,13,1,13,1,7,14,,,80,60,23,40,9,1,4,1,4,0,0,,,42,M
Marcos Baghdatis,Denis Istomin,1,0,0,3,52,53,48,20,8,4,37,50,1,9,16,23,106,77,57,23,15,9,1,41,41,4,13,12,16,126,M
Dmitry Tursunov,Michael Russell,1,1,3,0,53,39,47,24,8,6,8,6,6,9,,,104,50,24,50,19,1,8,1,8,1,7,,,79,M
Juan Monaco,Ernests Gulbis,1,0,1,3,76,63,24,12,0,4,16,35,3,12,9,13,128,53,59,47,32,17,11,59,79,3,5,16,28,127,M
Santiago Giraldo,Sam Querrey,1,0,1,3,65,51,35,22,9,3,35,41,2,7,6,12,108,63,60,37,22,24,4,47,45,4,7,14,17,122,M
Dudi Sela,Jarkko Nieminen,1,0,2,3,68,73,32,24,5,3,41,50,9,17,14,30,173,60,66,40,34,2,6,57,72,10,17,25,36,173,M
Fabio Fognini,Alex Bogomolov Jr.,1,1,2,0,47,18,53,15,3,4,21,31,6,20,6,9,78,54,26,46,13,0,11,11,46,2,6,8,12,61,M
David Guez,Richard Gasquet,1,0,0,3,64,26,36,12,3,,20,39,3,7,5,14,67,67,42,33,14,12,,32,20,7,10,8,11,94,M
Nikolay Davydenko,Lukasz Kubot,1,1,3,2,77,76,23,11,6,4,6,4,7,24,,,162,60,68,40,25,8,12,8,12,6,14,,,141,M
Pablo Carreno Busta,Julien Benneteau,1,0,2,3,53,46,47,35,7,7,47,58,4,5,19,33,126,66,62,34,24,16,4,49,46,7,19,30,43,152,M
Tommy Robredo,Lukas Rosol,1,1,3,2,57,62,43,43,13,0,50,38,6,18,15,19,177,51,72,49,41,11,12,82,96,3,7,28,44,152,M
Samuel Groth,Vasek Pospisil,1,0,0,3,65,40,35,17,16,4,35,25,0,2,20,43,74,67,45,33,13,6,4,31,17,4,10,6,10,94,M
Nicolas Mahut,Matthew Ebden,1,0,2,3,64,63,36,23,7,4,49,57,6,15,24,46,137,67,58,33,23,7,7,45,55,6,12,28,37,131,M
Alejandro Falla,Mikhail Kukushkin,1,1,3,1,60,50,40,23,4,2,4,2,10,28,,,151,55,55,45,23,2,3,2,3,4,14,,,128,M
Stanislas Wawrinka,Andrey Golubev,1,1,2,0,63,20,37,6,4,1,23,11,4,9,13,14,54,64,18,36,10,0,0,8,15,1,2,6,12,37,M
Alejandro Gonzalez,David Ferrer,1,0,0,3,68,34,32,7,2,4,22,41,5,7,11,21,75,53,28,47,21,2,6,33,30,8,12,18,22,96,M
Steve Johnson,Adrian Mannarino,1,0,2,3,53,50,47,28,21,12,21,12,4,6,,,129,58,52,42,37,3,3,3,3,7,11,,,142,M
Ricardas Berankis,Alexandr Dolgopolov,1,0,0,3,50,39,50,26,10,3,28,38,1,3,17,31,91,58,42,42,23,7,4,37,31,5,16,12,12,114,M
Jeremy Chardy,Jesse Huta Galung,1,1,3,0,66,46,34,16,9,2,31,27,4,9,12,13,94,57,41,43,13,9,7,30,33,0,5,14,17,80,M
Jordan Thompson,Jerzy Janowicz,1,0,2,3,60,58,40,21,13,8,40,36,3,10,18,28,140,64,74,36,27,18,11,62,64,5,9,31,46,153,M
